,author,content,date,tag,title,url
34,OpIndia Staff,"The Vishwa Hindu Parishad has stated that it will hold meetings in every Lok Sabha constituency to gather support of MPs to bring a law on Ram Mandir. Delhi BJP president and MP from North-East Delhi, Manoj Tiwari, on Tuesday said  that he is ready to bring a private member Bill in the Lok Sabha for construction of a Ram temple in Ayodhya if a need arose. The Delhi BJP Chief made the statement when a delegation of the VHP met him at his residence and presented him a memorandum on the Ram Temple. “If the need arose, I will also be at the forefront to bring a private member Bill in the Parliament,” Tiwari said. Tiwari said that he will strongly advocate a law for constructing a Ram temple at Ayodhya within the Lok Sabha and the party. The VHP has announced  that it would hold gatherings in every Lok Sabha constituency till December 6 to seek the support of Parliamentarians across the country for building a Ram temple in Ayodhya. On Nov 25, the VHP had organised  a ‘Dharma Sansad’ to discuss the way forward with respect to the construction of Ram Temple at Ayodhya. Earlier Bharatiya Janata Party MP Rakesh Sinha had said that he may be moving a private member’s bill in the Rajya Sabha demanding the construction of a Ram Temple in Ayodhya. Sinha’s response came after the Supreme Court deferred  the Ram Janmabhoomi-Babri Masjid land dispute case hearing for the first week of January.",2018-11-28,"Anti Hindu bias,Ayodhya dispute,BJP,Hinduphobia,Manoj Tiwari,PM Narendra Modi,Ram Mandir",Will bring a private member bill on Ram Mandir if needed: Manoj Tiwari,https://www.opindia.com/2018/11/will-bring-a-private-member-bill-on-ram-mandir-if-needed-manoj-tiwari/
35,OpIndia Staff,"The poster features Congress President Rahul Gandhi, senior Congress leaders Sachin Pilot, Ashok Gehlot and other Congress leaders but, ironically, not a single woman. In poll-bound Rajasthan, Congress has tried to take the ‘respect women’ route. A poster has gone viral on social media which claims that if Congress comes to power, women will get respect. The poster features Congress President Rahul Gandhi, senior Congress leaders Sachin Pilot, Ashok Gehlot and other Congress leaders but, ironically, not a single woman. We’ve earlier pointed out how women empowerment is a mere propaganda  tool for Congress. While most arguments of Congress regarding their contribution to women empowerment are centred around Indira Gandhi, her cabinet never had any notable women as a cabinet minister. There have been some Ministers of States but her regime did not see another major female political leader emerging or given a substantial role of a Union Minister. Sushila Nayyar was health minister for a year, but she was sacked soon. In fact, it was Congress which punched the biggest hole in women empowerment with overturning the Shah Bano case. While the Supreme Court of India had granted Shah Bano the right to maintenance, the Rajiv Gandhi led Congress government in the centre succumbed  to the possible confrontations from the Muslim Personal Law Board. Rajiv Gandhi’s government passed a law in the name of the Muslim Women (Protection of Rights on Divorce) Act, 1986 and basically reversed the Supreme Court Verdict. The SC verdict that could have been the harbinger of equal rights to all Muslim Women as the rest of the women of this country was overturned in the name of Muslim appeasement. Moving on to more recent times, when the Narendra Modi led government batted for the abolition of Triple Talaaq in a bid to empower Muslim women who were being given triple talaq for frivolous reasons and being rendered homeless, Congress not only tried to stall the bill and often displayed  double standards, senior Congress leaders even tried  to justify their opposition to the bill in ridiculous ways. Last year, during the run-up to the Gujarat elections, Rahul Gandhi had made sexist comments  saying that women associated with the Rashtriya Swayamsevak Sangh (RSS) do not “wear shorts”. Because only by “wearing shorts” does a woman get empowered. And Rahul Gandhi and his party talking about women empowerment and respecting women across as a bit of an irony. Recently, NSUI President Fairoz Khan, who was recently accused  by a woman member of NSUI of abetting female members of the organisation to make sexual relationship with him in lieu of political posts, was seen on the posters  of a ‘Girls’ Convention’ held in Indore. Earlier, when allegations of sexual harassment against Congress IT cell member Chirag Patnaik had emerged, Congress IT cell head Divya Spandana had expressed ‘full support’  to Patnaik. In September, Bandari Bala Kumar, Sircilla unit Youth Congress president, was taken into custody after he allegedly entered the hostel in the town and harassed the girls  allegedly under inebriated condition.",2018-11-28,"2018 Assembly Elections,Ashok Gehlot,Congress,congress gaffes,rahul gandhi,Rajasthan Assembly Election,sachin pilot,Women,Women Empowerment","Congress poster on respecting women goes viral, because it has one aspect missing",https://www.opindia.com/2018/11/congress-poster-on-respecting-women-goes-viral-because-it-has-one-aspect-missing/
36,OpIndia Staff,"The ACB has asked for more time to further probe the inconsistencies and begin criminal action. The Anti Corruption Bureau has laid  incriminating charges against the ex-deputy CM Ajit Pawar in the Maharashtra irrigation scam. The ACB has highlighted gross lapses on the part of Pawar and other officials which lead to the scam, as per reports. Estimated to be around Rs 70,000 crore, the scam is associated to the purported corruption in approval and implementation of disparate irrigation projects in Maharashtra during the Congress-Nationalist Congress Party (NCP) rule. Pawar was at the helm of the irrigation department on numerous occasions between 1999 and 2014 during the Congress-NCP coalition rule in Maharashtra. The ACB has filed  24 FIRs against the Vidarbha Irrigation Development Corporation (VIDC) officials, contractors and their power of attorney holders. Sanjay Barve, Director General, ACB, filed an affidavit before the Nagpur bench of the high court on Tuesday in response to an appeal filed by an NGO, Janmanch. The NGO raised grave concerns over glaring inconsistencies in irrigation projects managed by the Vidharba and Konkan Irrigation Development Corporations. The scam was described as a “weird case of conspiracy” in the affidavit. “Those involved in the corruption who caused a great dent to public exchequer are simply hiding behind the framework and relaying their blame on others,” it said. The affidavit also leveled serious charges of inordinate delays, cost escalations and non-realisation of projects undertaken by the Vidarbha and Konkan irrigation development corporations under the tenure of Ajit Pawar as minister for water resources department. “The ACB has noticed that large irregularities have been perpetrated in many of these tenders with shocking similarity,” Barve said in his affidavit. During inquisition, Pawar blamed secretary-level officers for their recommendations. He said that most of the decisions were taken at field level. “It is observed that the minister in chargee of the water resources department passes the buck on to the officers,” the affidavit said. The ACB further stated that it had solicited the views of the water resources department’s principal secretary about Pawar’s role as the minister. In his response to the ACB, the secretary said Rule 10 of the Maharashtra Government Rules of Business and Instructions was self-explanatory and that nothing can be added. Responsibility, according to the Rule 10 of the Maharashtra Government Rules of Business and Instructions lies squarely on the minister in-charge of the department for ‘all the business and disposal thereof appertaining to the said department’. The ACB also said that officials of the Vidarbha Irrigation Development Corporation (VIDC) received graft and monetary rewards for contractors.The affidavit alleged that VIDC’s officials flouted the procedures, acted against the government’s interest, extended patronage to a select group of contractors and ensured that they got monetary benefits. The ACB has asked for more time to further probe the inconsitencies and begin criminal action. The affidavit described the perpetrators as ‘musicians’ playing a symphony in perfect harmony with each other. Senior NCP leader Dhananjay Munde had, earlier this month, dismissed the allegations and called it a political agenda of the BJP.",2018-11-28,"Anti Corruption Bureau,Congress scams,Corruption,corruption charges,devendra fadnavis,Infrastructure projects,Maharashtra,ncp,PM Narendra Modi","Maharashtra: ACB cites ex-deputy CM Ajit Pawar responsible for 70,000 crores irrigation scam",https://www.opindia.com/2018/11/maharashtra-acb-cites-ex-deputy-cm-ajit-pawar-responsible-for-70000-crores-irrigation-scam/
37,OpIndia Staff,"BJP and Congress came together earlier this year to form the Chakma Autonomous District Council in Mizoram Mizoram goes to poll today to elect its next government. The main contest is expected between incumbent Congress and Mizo National Front (MNF), but Zoram People’s Movement (ZPM) and BJP are also important players in the elections. None of these parties has any pre-poll alliance. Unlike other states in North East where BJP had formed pre-poll alliances and won elections, BJP has decided to go alone in Mizoram. Although Congress won 34 out of 40 seats in 2013 elections, this time it is expected to come down substantially, due to anti-incumbency factor and the cascading effect of declining fortune of the Congress party at the national level. Chief Minister Lal Thanhawla has said that Congress is open form post-poll alliance with like-minded parties excluding BJP and MNF. On the other hand, North-East Democratic Alliance (NEDA) convenor Himanta Biswa Sarma has made a very significant comment by saying  that BJP has worked with all other three parties in the state and there is nothing to hide in that. According to Sarma, Mizoram Congress is a different entity separate from the Congress party, and since the time of Indira Gandhi, Mizoram Congress is considered different from All India Congress Committee (AICC). This may like a strange comment coming from the Congress leader turned staunch critic of Rahul Gandhi, but politics in northeastern states is different from the national level. In the region, politics is more personality driven rather than party driven. In the states of the northeast, it is regular to merge an entire party unit into another one, and parties form alliances which seems impossible, like a BJP-Congress alliance. There is a BJP-Congress alliance in the state, although not for the assembly election, its there for an autonomous council. In April this year, the election for the 20 seats of Chakma Autonomous District Council (CADC) took place in the state. In the election, MNF won eight seats, Congress won six seats and BJP won five seats. Thus, no party won a majority to form the council, and an alliance was necessary between any two parties. And in an unusual political equation formed by local leaders, the elected council members of Congress and BJP came together. BJP leader Santi Jiban Chakma became  the chief executive member (CEM) of the council, with the support of the Congress councillors. Mizoram is a Christian majority state with Church having a considerable influence in politics of the state. The Church has openly taken an anti-BJP stand in the elections, even expelling  its members for joining BJP. That is the reason other parties are not willing to form any pre-poll alliance in the state. Mizo National Front is a member of NDA in the national level, but even they don’t want to be seen with BJP in the state. BJP is in power in six of the seven states in the northeast, Mizoram being the exception. There are four BJP chief ministers in the region, in Arunachal Pradesh, Assam, Manipur and Tripura, while BJP is part of the ruling coalition in Nagaland and Meghalaya. Will BJP be able to come to power in Mizoram, will they form an alliance with any party after the elections, we will know after December 11.",2018-11-28,"2018 Assembly Elections,alliance,BJP,Coalition government,Congress,Himanta Biswa Sarma,mizoram assembly elections,Northeast India","Congress and BJP fight it out in Mizoram today, but earlier this year, they had formed an alliance for an autonomous body",https://www.opindia.com/2018/11/mizoram-congress-bjp-alliance-autonomous-body/
38,OpIndia Staff,"Income Tax officer SK Srivastava told CBI that P Chidambaram routed the bribe in Aircel-Maxi deal through NDTV With CBI getting sanction  to prosecute former union minister P Chidambaram in the Aircel-Maxis case, the investigation into the case has entered its final phase. P Chidambaram and his son Karti are accused of receiving a bribe in exchange for illegal approval to the Aircel-Maxis deal granted by the then finance minister. With the case finally gaining momentum, it is time to revisit some other aspects of the case. One of that is the alleged involvement of NDTV. Income Tax officer Sanjay Kumar Srivastava, who has been exposing  financial irregularities by NDTV, had made a sensational claim that P Chidambaram had parked his bribe money in the controversial media house. In an 88 page letter written to the CBI chief in April this year, Srivastava had said that “NDTV Ltd. needs to be investigated over parking of bribe of US $40 million by Maxis and its owner T. Ananda Krishnan (accused in the Aircel-Maxis case) on behalf of P Chidambaram and Karti P. Chidambaram for obtaining FIPB approval in Rs.3500 crores. Aircel-Maxis deal fraudulently claiming the proposal for Rs.180 crores only when gross value of the proposal was to be considered and which has been hushed up by certain IRS officers in lieu of bribe paid by NDTV Ltd.” As per FDI policy in force at that time, FDI proposals above ₹600 crore needed to be cleared by Cabinet Committee on Economic Affairs (CCEA), while FDI below this amount could be approved by the finance ministry. According to allegations, the Aircel-Maxis deal was for ₹3,500 crores, but it was shown as the share price of ₹180 crore and share premium of ₹3320 crore, and approval was sought for only the ₹180 crore part. As it was below the limit for CCEA approval, finance minister P Chidambaram had sanctioned the approval. In return for this favour, Karti Chidambaram was paid $40 million, which was routed through NDTV Ltd, Srivastava alleges. He has written that the transaction was “disguised as a purchase of shares (49% indirect stake whatever that may mean) of NDTV Lifestyle Holdings Pvt. Ltd wholly owned by NDTV Networks Plc, UK which was wholly owned by NDTV Networks BV, Holland and which in turn was wholly owned by NDTV Ltd, India and all of which were sham letterbox companies owned and floated by NDTV Ltd to launder the proceeds of crime bring the bribe paid to the Union Finance Minister P Chidambaram and Karti by various entities by All Astro Asia Networks Plc, UK wholly owned subsidiary of the Maxis Ltd an T Ananda Krishnan.” The Income Tax officer goes on to add that “the fraudulent nature of the transaction between NDTV and Maxis is borne out from the fact that Maxis Ltd never cared to carry its investment or seek any return on that or get involved in the affairs of the company which was 49% owned by Maxis Ltd & had just forgotten their huge investment of about Rs.200 crores with NDTV Ltd and its subsidiaries. The case was hushed up by the NDTV Ltd by paying a bribe to the Indian Revenue Service (IRS) officers.” Srivastava has noted that CBI is investigating multiple cases of bribes paid by NDTV to Income Tax officers and embezzlement of ₹1,46,82,836 from government account by NDTV. According to him, these cases and the case of bribe received by Karti Chidambaram are interrelated and interconnected. Because P Chidambaram was the final authority involved to grant necessary approvals and he is the common thread in all criminal conspiracies and bribe transactions, says the letter. Srivastava attached many internal documents of NDTV in his 88-page letter in support of his allegations. He had requested CBI that the cases of bribes paid by NDTV to I-T officers and bribe received by Karti should be handled by the same division of CBI, as they are related to each other. Relevant portions of the letter by S K Srivastava to CBI have been enclosed below:",2018-11-27,"2G scam,Aircel Maxis case,bribe,cbi,Income Tax Department,Karti Chidambaram,NDTV,P Chidambaram,prannoy roy","Aircel Maxis: With CBI getting sanction to prosecute P Chidambaram, a relook at NDTV link and the IT officer’s letter to CBI",https://www.opindia.com/2018/11/aircel-maxis-with-cbi-getting-sanction-to-prosecute-p-chidambaram-a-relook-at-ndtv-link-and-the-it-officers-letter-to-cbi/
39,OpIndia Staff,"The Church has now clarified that it does not interfere in the election process and it is only the people of the state who choose the government. In poll-bound Mizoram, days after taking an anti-BJP stand , the Church has denied  any involvement in the electoral process. Claiming that it is an apolitical body, the Church has clarified that it has not tried to influence voters. The Church had earlier reportedly urged the congregation to abstain from voting for the BJP. The Church has issued a guidelines booklet asking the voters to keep the interests of the community in mind while casting their vote. Earlier, the Nagaland Church had also taken a similar stand before Nagaland elections earlier this year. The Mizoram Church has questioned BJP’s decision of observing Christmas Day as the Good Governance Day. The Church feels that if BJP is voted to power the religious freedom will be under threat and the interests of Christians will be ignored. The Church has now clarified that it does not interfere in the election process and it is only the people of the state who choose the government. Meanwhile, Church-backed NGOs are on the campaign trail to ‘ensure ‘ fair elections. Mizoram People’s Forum, a Church-backed local election ‘watchdog’ has taken upon itself to supervise the election campaign and ensure that money power does not come to play in the elections. Mizoram goes to elections tomorrow, 28th November, along with Madhya Pradesh and as many as 209 candidates are in the fray for the 40-seat Assembly. Mizoram is the only Northeastern state that still has a Congress government. The result for the elections will be declared on 11th December.",2018-11-27,"2018 Assembly Elections,Anti BJP,Church,Church Politics,Mizoram,mizoram assembly elections","Mizoram: After taking an anti-BJP stand, Church denies involvement in election process",https://www.opindia.com/2018/11/mizoram-after-taking-an-anti-bjp-stand-church-denies-involvement-in-election-process/
40,OpIndia Staff,"The PM added that how will the people of Rajasthan take Rahul Gandhi seriously when the members of Rajasthan Congress are not taking him seriously. Addressing an election rally in Banswara, Rajasthan, PM Modi went all guns blazing against the Congress party. He attacked Congress party for having misplaced priorities. Modi alleged that for Congress the Gandhi family trumps everything else, after which follows the ‘darbaris’ of the Gandhi family, then the vote-getters, followed by Casteism and finally the country. Alluding to Congress president Rahul Gandhi, PM Modi said that he can’t even differentiate between ‘moong’ and ‘chana’. He said, “The dynast doesn’t even know whether chana grows on a tree or a plant. He would fail to identify plants if 4 different plants are shown to them. Such people talk about Farmers? We implemented the Swaminathan Commission recommendations on MSP and helped farmers get 1.5 times the market price on their produce.” PM Modi also contended that Congress is steeped in with the poison of Casteism and that if it were possible, Congress would have questioned castes of great scholars like Tulsidas, Saint Kabir, and others as well. Earlier, In the election rally in Bhilwara, PM Modi slammed  Congress and its President Rahul Gandhi for asking for ‘proofs’ for the occurrence of Surgical Strikes. He claimed that under Congress government, the dastardly attacks of 26/11 happened, they shouldn’t be giving lessons on patriotism to others. “The Gandhi scion came here and promised to manufacture ‘Made in Dungarpur’ mobiles but there is no mention of it in the Congress manifesto. “How will the people of Rajasthan take Rahul Gandhi seriously when even the members of Rajasthan Congress are not taking him seriously?,” PM Modi said. Hailing BJP’s work, PM Modi requested everyone to vote for the party and ensure their victory. He urged the listeners to understand the importance of their vote and the consequences it can have on their and their children’s lives.",2018-11-26,"2018 Assembly Elections,Congress lies,PM Modi,rahul gandhi,Rajasthan Assembly Election,vasundhara raje","Gandhi family and their ‘Darbaris’ are priority for Congress, not the Country: PM Modi",https://www.opindia.com/2018/11/gandhi-family-and-their-darbaris-are-priority-for-congress-not-the-country-pm-modi/
41,OpIndia Staff,"Last week, a man had attacked Kejriwal with chilli powder just outside his office in the Delhi secretariat. A man was arrested  after a live bullet was recovered from his possession during a security check-up when he went to visit Delhi Chief Minister Arvind Kejriwal yesterday for the Janta-Darbar. The man identified as Imran has been booked under Arms Act. The man was reportedly one of the clerics who had gone to visit the CM with a request to increase the salary of clerics of the Waqf Board staff. Imran told  the police that he had found the bullet in the donation box of a mosque, kept it in his wallet and forgot about it. “He has claimed he found the bullet in a donation box two-three months ago and he intended to throw it in the Yamuna, but since he was yet to do it, he had kept it in his purse,” Singh said.  additional deputy commissioner of police (north), Harendra Singh, the .32 bore live cartridge was recovered from his purse during the search and frisking by the security staff at the CM’s residence. The officer also said that Imran is a resident of Loni in Ghaziabad and works as the caretaker (Muezzin) of the Masjid Bawli Wali in Karol Bagh.According to Only last Thursday a man identified as Anil Kumar Sharma was arrested for throwing chilli powder  at Kejriwal as he was leaving his offices at the Delhi Secretariat. The Aam Admi Party had compared  the incident with Mahatma Gandhi’s assassination and had called a special session  of the Assembly to discuss the ‘chilli powder attack’.",2018-11-27,"AAP,Arvind Kejriwal,Delhi,Delhi Government,Muslim,waqf board",The live bullet found in possession of Muslim cleric who went to meet Kejriwal was ‘donated’ to a mosque,https://www.opindia.com/2018/11/waqf-board-staff-arrested-for-carrying-live-bullet-to-kejriwals-residence/
42,Sambit Nayak,"While Syed Modi and his family never got justice, the nation lost a bright star in the field of Badminton.  Badminton World Federation (BWF) just concluded the last marquee tournament of the year, Syed Modi International Badminton Tournament at Lucknow, before world tour finals to be held at Guangzhou. Indians had a fabulous run at the tournament with 4 out of 5 finals having Indian representation. India’s final score at Syed Modi stands as 3 Silver and 1 Gold. Definitely, a smashing way to end an otherwise disappointing year for Indian Badminton. Syed Modi tournament started as a national level tournament in 1991. It got BWF recognition in 2004. From 2009, it got Grand Prix status and has been witnessing participation from eminent players from China, Japan, Indonesia, Malaysia, South Korea and Denmark among others. However, do we know who Syed Modi was and why we have a BWF tournament named after him? Probably the only person who has a BWF tournament named after him until 2017 when the Indian Open got renamed to Dr Akhilesh Das Gupta Indian Open. Syed Modi was one of the most promising players of India hailing from Uttar Pradesh. Few of his biggest laurels include Gold at CWG in 1982 at Australia and Bronze at Asiad in 1982 held at Delhi at the mere age of 20. He has won several European circuit championship as well. An Arjuna Awardee, Syed Modi was 8 times national champion consecutively from 1980 to 1987. On the evening of 28 July 1988, at the age of 26, Modi was shot dead as he was coming out of KD Singh Babu stadium, Lucknow after a practice session. A brilliant career was cut short as Syed Modi, hailed as the next Prakash Padukone of India , died an unfortunate and untimely death. Soon after the murder, UP police arrested 7 persons including Modi’s wife Ameeta Singh, Congress leader Sanjay Singh who was a close friend and classmate of Rajiv Gandhi and another Congress leader outlaw-turned-politician, former MLA from Rae Bareli Akhilesh Singh for criminal conspiracy and murder. As it was a high profile murder case where the accused were powerful politicians, for the fear of scuttling the investigation, the case got shifted to CBI. CBI charge sheet named all 3 along with few others and hinted at the extra marital affair of Ameeta with Sanjay Singh to be the root cause of the murder. However, they denied all such charges. Later, Rajiv’s friend Sanjay Singh got his name as well as Ameeta’s name dropped from CBI charge sheet and went on to marry Ameeta in 1990 while still being legally married to Garima Singh, a relative of VP Singh. Garima filed a case alleging polygamy to which Sanjay replied that he had sent divorce notice to Garima’s address to which Garima never replied. Hence court granted him an ex-parte divorce. The case has been dragging on to this date with Sanjay still legally married to Garima but lives with Ameeta. Marital discord started in Modi’s life soon after the marriage. Ameeta and Syed belonged to a different religion, social strata and culture. Despite strong opposition from both families, they got married in 1984. However, differences soon started cropping up owning to professional jealousy and adulterous nature of Ameeta. While Modi went on to win several national championships, Ameeta had to take a break as she was expecting their first child in 1987. The gaps widened to a point where Syed Modi suspected that the child is not his. Marital discord affected his game as well and he lost his first ever senior nationals title in 1988. Soon they started living separately. On 28th of July 1988, Modi was shot dead in front of the stadium as he was coming out after a practice session. So what happened to Rajiv’s friend and his new wife after being charged with heinous crimes such as criminal conspiracy and murder? Of course, Congress rewarded him with Rajya Sabha nomination in 1990 while the wife got an MLA ticket from Amethi assembly constituency. Sanjay Singh has been a Lok Sabha member in 1998 and 2009. He is incumbent RS MP from Assam. Ameeta contested UP assembly elections in 2017 from Amethi on an INC ticket against estranged wife of Sanjay, Garima Singh who was contesting as a BJP nominee. Both declared Sanjay Singh to be their husband in respective election affidavits. Garima won the elections by a margin of 5065 votes. While Syed Modi and his family never got justice, the nation lost a bright star in the field of Badminton. The perpetrators were never brought to book because they knew all the right people. While Badminton Authority of India, in memory of the legend, started Syed Modi Championships which has now become an international BWF event, one should draw solace from the fact that Congress party has not renamed it as Rajiv Gandhi memorial Badminton tournament.",2018-11-27,"Badminton,Congress,INC,Murder,Syed Modi,UPA","As Syed Modi tournament draws to a close, here is who Syed Modi was and what Congress did to him",https://www.opindia.com/2018/11/as-syed-modi-tournament-draws-to-a-close-here-is-who-syed-modi-was-and-what-congress-did-to-him/
43,Jhankar Mohta,"Imran Khan has been a terror apologist and had been sympathetic to the Taliban in the past. On the day India reminisced the 26/11 Mumbai terror attack, wherein 166 people were killed by 10 Pakistani terrorists, the Congress Minister, Navjot Singh Sidhu, once again brandishing his admiration for Pakistan, called  the Pakistan Prime Minister Imran Khan a ‘Farishta’ (angel). While yesterday, Punjab Chief Minister, Captain Amarinder Singh declined  Pakistan’s invitation for Kartarpur corridor foundation stone laying ceremony citing continued terror attacks in Punjab, his minister Navjot Singh Siddhu not only accepted  the invitation but also called Imran Khan an angel. He also went on to say  that the “real credit” for initiation of the Kartarpur corridor goes to the Pakistan PM. “The real credit for the corridor goes to Imran Khan, and also to the people, who prayed for several years for its construction,” Sidhu told  While Sidhu thanked the Indian Government for its initiative he went on to applaud the Pakistani government giving them the “real credit”. India and Pakistan announced  on Thursday that they will build a corridor on their respective sides to let Sikh pilgrims visit the iconic Gurdwara Darbar Sahib in Kartarpur on the banks of the river Ravi in the neighbouring country. The plan to build a corridor on the Indian side leading to the border near the gurdwara was among a slew of proposals cleared during a Cabinet meeting to mark Guru Nanak’s 550th birth anniversary in 2019. While Sidhu was busy applauding Pakistan, the Sikhs in America have hailed the Indian government’s decision  to build a religious corridor linking border district of Gurdaspur with historic Kartarpur Sahib gurudwara in Pakistan. Earlier too the Congress minister of tourism and cultural affairs in Punjab, Navjot Singh Sidhu had bagged  a lot of criticism when he, disregarding the Indian sentiments had gone and attended the oath-taking ceremony of Imran Khan. Though Sidhu’s controversial hug to the Pakistan Army Chief had created a tremendous uproar, the consternation left him unfazed. He even promised to throw in a kiss  next time if the corridor was opened. Justifying his acts, Sidhu was also quick to grab the opportunity  to credit the Kartarpur corridor development to this controversial hug. Though the Pakistan government had earlier discredited  his claim. It is worthy to note here that Imran Khan has been a terror apologist and had been sympathetic to the Taliban  in the past. Pakistan has been long known to help spread terrorism  in India and kills hundreds of Indians every year. While India remembers the 26/11 Mumbai attacks with pain, Pakistan has not only been aiding terrorists to wage war against India, the Imran Khan government has now allowed the sanctions against UN-designated terrorist Hafiz Saeed  to lapse. Saeed is considered the mastermind of the 26/11 attacks. Congress’ fondness for Pakistan has many a time laid exposed. Congress ministers on many occasions in the past have praised Pakistan. Pakistanis have also on one occasion reverted  back by praising Congress President Rahul Gandhi for slamming PM Modi. Not to forget how senior Congress leader, Mani Shankar Aiyar while expressing his love for Pakistan, had blamed  India for stopping the dialogue between the two nations. He also went on to say in an interview that to start a dialogue between to nations, Prime Minister Modi needs to be removed  from his post. He said, “Pakistan ke saath acche rishte banane hain toh inhe (Modi government) hataiye, humko leke aiye”. Moreover, in February 2012 Mani Shankar Aiyer had gone on to refer Pakistani terrorist Hafiz Sahid as ‘Saahab’. Former Union Minister of External Affairs, Salman Khurshid, too, on his visit  to Pakistan, had hailed Pakistan as a democratic country and slammed Modi government. Congress veteran leader P Chidambaram, last year created a stir by reiterating Pakistan’s stance by backing  greater autonomy for Jammu and Kashmir. He had in 2016, also raised  serious doubts over the degree of involvement of the hanged Pakistani terrorist, Afzal Guru, in the 2001 Parliament attacks. Recently, Congress was found promoting  a ‘Modi hatao desh bachao’ ad on Facebook in Pakistan. When Congress was called out on the same, the party decided to blatantly lie  after quietly deleting the post. Congress’ crush over Pakistan was further uncovered last year when Congress after an initial denial, accepted  Modi’s direct allegation that a secret meeting took place involving certain Pakistani and Congresspeople, during the height of the Gujarat elections. What is actually interesting here is that even though Pakistan PM Imran Khan called the Prime Minister of India ‘a small man in big office’, Congress minister Sidhu is head over heels praising the Pakistani PM with words like ‘an angel’.",2018-11-27,"BJP,Congress,Kartarpur,navjot singh sidhu,Pakistan,pakistan government,pakistan sponsored terrorism","On 26/11 anniversary, Congress’ Navjot Sidhu calls Imran Khan ‘an angel’",https://www.opindia.com/2018/11/on-26-11-anniversary-congress-navjot-sidhu-calls-imran-khan-an-angel/
44,OpIndia Staff,"PM Modi responded to personal attacks launched against him by Congress leaders. As the state of Rajasthan gears up to vote for the state Assembly elections, Prime Minister Narendra Modi addressed a massive rally  in Alwar, Rajasthan today. Prime Minister Narendra Modi in his campaign speech, came down heavily on Congress Party for not only resorting to casteist slur  against him but also for dragging his family  to politically attack him. Prime Minister Narendra Modi attacked Congress for its dubious stand on Ayodhya issue and he continued by describing how the Congress has created an atmosphere of fear  for the judiciary in the country by threatening Chief Justice of India with an impeachment motion  whenever one of them wants to hear the Ayodhya case. “The Congress creates an atmosphere of fear for the judiciary. They tell the Supreme Court to delay the Ayodhya hearing due to 2019 elections. They do everything possible to impeach the Chief Justice. How can such things be accepted,” PM Modi said with a reference to the opposition attempt  to impeach former Chief Justice Dipak Misra earlier this year. The Prime Minister also attacked the Congress for indulging in caste politics and said the party has touched a “new low”, as PM Modi referred to the series of casteist slurs  and personal abuse he received from senior Congress leaders. He went on to say that Congress party resorted to caste politics since country’s independence and said that Congress party deliberately sidelined B R Ambedkar but presented  Bharat Ratna to themselves, especially to one family. PM Modi also said that former Congress Dalit leader Babu Jagjeevan Ram was humiliated by the Congress party after he stood against Indira Gandhi for imposing emergency. During his speech, the PM never missed a chance to attack the Congress for indulging in hate politics. He said that Congress leaders resort to personal abuse when they do not have any positive agenda to discuss the development. He challenged Congress party to debate him on policies and developmental issue rather than indulging in derogatory attacks. He slammed  senior Congress leader Raj Babbar for referring left-wing terrorists as ‘Revolutionaries’. Expressing disappointed over deaths of security officials in Chattisgarh due to Naxal attacks, the Prime Minister said that Congress party terming Naxalites as ‘Revolutionaries’ should be a shame for the party and its leaders. In his speech, he also referred to the recent bizarre incident  which took place in Rajasthan, when a senior Congress leader not only stopped a party worker from chanting ‘Bharat Mata ki Jai’ but forced him to chant slogans praising Sonia Gandhi and Rahul Gandhi. “For the Congress party, there is a  PM Modi concluded his speech by mentioning the major developmental schemes initiated by the BJP government in the Centre and in Rajasthan led by Chief Minister Vasundhara Raje. He said the only mantra that his party fights its elections on, is ‘Vikas’ (development) and so the people must vote to keep in mind the future of their kids. The elections to 200 seat Rajasthan legislative assembly will be conducted  in a single phase on December 7, 2018, and the results will be announced along with the results of four other states on December 11, 2018.",2018-11-25,"2018 Assembly Elections,Amit Shah,caste politics,Congress,Congress against Hindus,Congress corruption,naamdar party,Narendra Modi,PM Modi,rahul gandhi,rajasthan,Rajasthan Assembly Election","Rajasthan elections: Congress trying to use impeachment to threaten judiciary, indulging in caste-politics, says PM Modi",https://www.opindia.com/2018/11/rajasthan-elections-congress-trying-to-use-impeachment-to-threaten-judiciary-indulging-in-caste-politics-says-pm-modi/
